,S,T,E,A,Y,D,Q,R,F
0,49900,0,100,0,0,0,0,0,0
1,49856,30,93,5,11,1,3,1,0
2,49697,155,105,9,17,6,7,4,0
3,49436,368,127,12,23,14,11,9,0
4,49089,653,158,15,29,25,14,16,0
5,48658,1007,197,19,37,39,19,26,0
6,48134,1433,245,24,46,56,23,39,0
7,47501,1946,304,29,57,77,29,56,0
8,46739,2561,377,36,71,102,37,78,0
9,45823,3295,465,45,88,133,46,106,0
10,44722,4176,570,56,109,170,56,140,0
11,43415,5217,696,69,134,216,69,184,0
12,41881,6433,843,84,163,272,85,239,1
13,40086,7852,1014,102,198,339,104,305,1
14,38035,9464,1207,122,238,420,126,388,1
15,35718,11275,1421,146,284,516,151,487,1
16,33162,13260,1651,173,336,630,179,607,1
17,30413,15375,1893,201,391,763,212,751,2
18,27511,17586,2137,232,451,917,245,920,2
19,24568,19792,2374,263,511,1089,282,1118,2
20,21644,21945,2593,294,571,1282,319,1347,3
21,18835,23965,2786,324,629,1494,355,1609,3
22,16230,25777,2945,351,681,1719,391,1903,4
23,13862,27359,3065,375,726,1957,421,2230,4
24,11787,28667,3146,394,763,2199,449,2590,5
25,9998,29716,3187,408,790,2443,471,2981,5
26,8492,30514,3193,418,808,2682,487,3401,6
27,7246,31084,3168,423,817,2911,498,3846,7
28,6223,31467,3117,424,817,3128,503,4314,7
29,5400,31686,3045,420,811,3324,504,4802,8
30,4738,31778,2958,414,798,3501,500,5306,9
31,4208,31771,2859,405,780,3655,491,5823,9
32,3791,31683,2752,394,758,3784,481,6349,10
33,3463,31536,2640,381,733,3888,467,6881,10
34,3204,31348,2525,367,706,3970,451,7417,11
35,3007,31125,2410,352,678,4027,435,7954,11
36,2860,30878,2295,338,649,4062,419,8489,12
37,2750,30616,2182,322,620,4078,400,9020,12
38,2676,30341,2072,307,590,4073,382,9545,13
39,2633,30056,1966,292,562,4051,365,10062,13
40,2613,29767,1863,278,534,4014,347,10571,14
41,2614,29475,1765,264,506,3965,328,11069,14
42,2638,29177,1671,250,480,3901,313,11556,15
43,2678,28878,1582,237,455,3828,296,12031,15
44,2733,28579,1497,224,431,3748,280,12492,15
45,2805,28276,1417,213,408,3658,266,12941,16
46,2890,27974,1341,201,386,3564,252,13376,16
47,2986,27671,1270,191,366,3466,238,13796,16
48,3096,27365,1203,180,346,3363,226,14203,16
49,3215,27060,1140,171,328,3259,214,14596,17
50,3344,26755,1082,162,311,3153,202,14974,17
51,3485,26446,1026,153,295,3046,192,15339,17
52,3632,26140,975,146,280,2940,182,15690,17
53,3785,25833,927,138,265,2834,172,16027,18
54,3949,25524,882,131,252,2729,164,16351,18
55,4116,25218,840,125,240,2626,156,16662,18
56,4288,24913,800,119,228,2526,148,16961,18
57,4466,24606,764,113,217,2426,141,17248,18
58,4646,24304,730,108,207,2331,134,17522,19
59,4829,24003,698,103,198,2237,128,17786,19
60,5014,23704,668,98,189,2147,122,18039,19
61,5199,23410,640,94,181,2060,117,18281,19
62,5385,23118,614,90,173,1976,112,18513,19
63,5571,22830,590,86,166,1895,107,18735,19
64,5754,22549,568,83,159,1817,102,18949,19
65,5936,22271,546,80,153,1743,98,19153,19
66,6116,21999,527,76,147,1671,95,19349,20
67,6292,21734,508,74,142,1603,91,19537,20
68,6465,21474,491,71,136,1538,87,19718,20
69,6634,21220,474,68,132,1476,85,19891,20
70,6797,20974,459,66,127,1417,81,20057,20
71,6957,20735,445,64,123,1361,79,20217,20
72,7113,20501,431,62,119,1307,76,20371,20
73,7262,20277,418,60,115,1256,73,20518,20
74,7406,20058,406,58,112,1207,71,20660,20
75,7546,19847,395,56,108,1161,69,20797,20
76,7679,19643,384,55,105,1118,67,20928,21
77,7807,19446,374,53,102,1076,65,21055,21
78,7930,19257,364,52,100,1037,63,21177,21
79,8046,19074,355,50,97,999,62,21295,21
80,8159,18898,346,49,94,964,60,21409,21
81,8265,18728,338,48,92,930,58,21519,21
82,8365,18566,330,47,90,899,57,21625,21
83,8462,18409,323,46,88,868,56,21728,21
84,8554,18259,315,44,86,839,54,21827,21
85,8639,18115,308,43,84,812,53,21924,21
86,8722,17976,302,42,82,786,52,22017,21
87,8800,17842,295,42,80,761,51,22107,21
88,8873,17715,289,41,78,738,49,22195,21
89,8943,17592,283,40,77,716,48,22280,21
90,9008,17474,278,39,75,695,47,22363,22
91,9070,17361,272,38,73,675,46,22443,22
92,9129,17251,267,37,72,656,45,22522,22
93,9184,17147,261,37,71,637,45,22598,22
94,9235,17046,257,36,69,620,44,22672,22
95,9285,16949,252,35,68,603,43,22744,22
96,9331,16856,247,35,67,587,42,22814,22
97,9374,16766,242,34,65,572,41,22882,22
98,9416,16679,238,33,64,558,40,22949,22
99,9455,16596,234,33,63,544,40,23014,22
100,9490,16517,229,32,62,531,39,23078,22
101,9526,16438,225,31,61,518,38,23140,22
