,S,T,E,A,Y,D,Q,R,F
0,49900,0,100,0,0,0,0,0,0
1,49895,2,83,6,12,1,0,1,0
2,49881,6,75,11,21,2,0,4,0
3,49862,11,73,15,27,4,0,8,0
4,49839,18,73,19,32,7,0,13,0
5,49811,25,77,23,36,9,0,19,0
6,49781,33,82,26,40,12,0,26,0
7,49747,41,89,30,44,15,0,35,0
8,49710,50,96,33,49,18,0,44,0
9,49669,59,105,37,53,21,0,55,0
10,49625,69,116,41,58,24,0,66,0
11,49576,79,127,46,64,28,0,80,0
12,49523,91,139,51,70,32,0,94,0
13,49464,103,153,56,77,36,0,110,1
14,49400,116,168,62,85,40,0,128,1
15,49330,130,185,69,93,45,0,148,1
16,49253,145,204,76,102,50,0,169,1
17,49169,162,224,84,112,55,0,193,1
18,49077,180,246,92,123,61,0,220,1
19,48975,200,270,102,135,68,0,249,1
20,48865,221,297,112,149,75,0,281,1
21,48743,244,326,123,163,83,0,316,2
22,48610,270,357,135,179,91,0,355,2
23,48465,297,392,149,197,100,1,397,2
24,48306,327,430,163,216,111,1,444,2
25,48132,360,471,179,237,122,1,496,3
26,47942,396,515,197,260,134,1,552,3
27,47735,435,564,216,285,147,1,614,3
28,47509,477,616,236,312,162,2,682,4
29,47264,523,673,259,341,178,2,757,4
30,46996,573,734,283,373,196,2,838,4
31,46706,627,800,310,408,215,3,928,5
32,46390,685,871,339,445,236,3,1025,5
33,46049,749,948,370,485,258,4,1132,6
34,45680,817,1029,403,528,283,4,1249,6
35,45282,890,1116,439,575,310,5,1376,7
36,44853,968,1208,478,625,339,6,1515,8
37,44392,1052,1306,519,678,370,7,1666,9
38,43897,1142,1410,564,735,405,9,1830,9
39,43368,1237,1518,611,795,441,10,2009,10
40,42804,1338,1631,661,859,481,12,2202,11
41,42204,1445,1749,714,926,524,14,2412,12
42,41567,1558,1872,770,996,570,17,2638,14
43,40893,1676,1997,829,1069,619,20,2883,15
44,40184,1799,2125,890,1145,671,23,3146,16
45,39439,1927,2255,954,1225,727,27,3429,18
46,38661,2060,2385,1020,1306,786,31,3732,19
47,37848,2196,2517,1088,1388,849,35,4058,21
48,37005,2336,2647,1158,1471,915,40,4405,23
49,36135,2478,2774,1229,1555,984,46,4775,25
50,35242,2621,2894,1301,1640,1056,52,5168,27
51,34329,2763,3008,1373,1725,1131,58,5584,29
52,33398,2905,3116,1445,1808,1209,65,6025,31
