,S,T,E,A,Y,D,Q,R,F
0,199600,0,400,0,0,0,0,0,0
1,199556,33,330,25,48,3,0,4,0
2,199447,115,290,45,81,9,0,15,0
3,199296,225,268,60,103,17,0,30,0
4,199120,351,259,73,120,26,0,50,0
5,198928,488,258,84,133,35,0,74,0
6,198724,629,263,94,143,45,0,101,1
7,198511,774,272,104,153,55,1,131,1
8,198291,920,283,113,162,65,1,163,1
9,198065,1068,297,123,172,74,1,199,1
10,197832,1218,313,133,181,84,1,237,1
11,197592,1369,330,142,191,94,1,279,1
12,197344,1523,349,153,202,104,1,323,2
13,197087,1680,369,163,213,114,2,371,2
14,196821,1841,390,174,225,124,2,421,2
15,196544,2006,413,186,238,134,2,476,2
16,196255,2175,437,197,251,145,2,533,3
17,195954,2351,463,210,266,156,3,595,3
18,195640,2532,490,223,281,167,3,660,3
19,195311,2721,519,237,297,179,3,730,4
20,194966,2917,549,252,314,191,4,804,4
21,194605,3121,580,267,332,204,4,882,5
22,194226,3334,614,283,351,217,5,965,5
23,193828,3556,649,300,372,231,5,1053,5
24,193410,3788,686,317,393,246,6,1147,6
25,192972,4031,725,336,415,262,7,1246,6
26,192512,4285,766,356,439,278,7,1351,7
27,192029,4550,808,376,464,295,8,1462,8
28,191522,4828,853,398,490,313,9,1580,8
29,190990,5119,900,420,517,332,10,1704,9
30,190430,5424,949,444,545,351,12,1836,9
31,189842,5744,1001,468,575,372,13,1975,10
32,189225,6078,1056,494,605,394,15,2122,11
33,188580,6427,1112,521,638,417,16,2277,12
34,187907,6789,1169,549,672,441,18,2441,13
35,187205,7166,1229,579,708,467,20,2613,14
36,186471,7558,1290,610,746,493,22,2795,14
37,185705,7966,1353,642,786,520,25,2987,15
38,184903,8393,1419,676,826,549,27,3189,17
39,184064,8840,1489,710,867,580,31,3403,18
40,183186,9306,1562,746,909,612,34,3627,19
41,182273,9789,1636,782,953,645,38,3863,20
42,181326,10288,1712,821,999,680,42,4111,21
43,180344,10803,1790,860,1046,716,46,4372,23
44,179327,11335,1868,901,1095,754,50,4645,24
45,178271,11885,1949,943,1145,793,56,4931,26
46,177176,12454,2033,986,1196,834,61,5232,27
47,176045,13040,2118,1030,1247,877,67,5547,29
48,174878,13641,2204,1075,1300,921,74,5877,31
49,173677,14257,2290,1121,1355,966,81,6221,32
50,172441,14886,2377,1169,1410,1013,88,6581,34
51,171172,15530,2465,1217,1466,1061,96,6957,36
52,169867,16188,2553,1265,1523,1111,105,7349,38
53,168529,16860,2643,1314,1579,1163,114,7758,41
54,167161,17542,2733,1363,1635,1216,124,8184,43
55,165767,18231,2821,1413,1692,1270,134,8626,45
56,164350,18926,2906,1463,1751,1325,145,9086,48
57,162911,19625,2990,1514,1809,1382,156,9563,50
58,161449,20330,3073,1565,1867,1439,168,10057,53
59,159963,21040,3156,1615,1923,1498,180,10570,56
60,158455,21755,3239,1664,1977,1558,193,11101,58
61,156932,22469,3320,1712,2030,1619,207,11649,61
62,155401,23179,3397,1760,2082,1680,221,12215,64
63,153866,23879,3469,1808,2135,1741,235,12798,67
64,152331,24568,3536,1856,2187,1803,250,13399,71
65,150794,25247,3598,1902,2239,1864,264,14017,74
66,149256,25917,3658,1947,2288,1926,279,14651,77
67,147713,26580,3719,1989,2332,1988,295,15304,81
68,146173,27231,3776,2030,2372,2051,310,15972,85
69,144645,27863,3829,2069,2411,2113,326,16657,88
70,143134,28472,3875,2107,2449,2173,342,17357,92
71,141644,29056,3914,2143,2486,2233,356,18071,96
72,140175,29616,3948,2178,2522,2291,371,18799,100
73,138725,30154,3978,2210,2553,2348,385,19542,104
74,137292,30671,4007,2240,2580,2405,400,20298,108
75,135883,31162,4032,2267,2603,2460,414,21067,112
76,134503,31624,4052,2292,2625,2513,428,21847,117
77,133157,32055,4066,2315,2644,2564,440,22638,121
78,131845,32453,4075,2336,2662,2613,452,23439,125
79,130567,32820,4078,2356,2677,2660,463,24250,130
80,129322,33158,4079,2372,2688,2704,474,25069,134
81,128108,33466,4078,2386,2696,2747,484,25897,139
82,126930,33744,4073,2398,2701,2787,493,26732,143
83,125792,33988,4064,2407,2703,2824,501,27573,148
84,124693,34199,4050,2415,2705,2859,508,28419,153
85,123634,34377,4033,2421,2704,2890,513,29270,157
86,122613,34524,4012,2426,2702,2919,518,30124,162
87,121630,34640,3989,2428,2697,2945,522,30982,167
88,120681,34730,3965,2428,2689,2969,525,31842,172
89,119769,34790,3939,2426,2678,2990,528,32704,176
90,118894,34821,3911,2422,2666,3008,530,33567,181
91,118057,34824,3880,2417,2653,3023,530,34429,186
92,117259,34798,3846,2411,2639,3036,529,35291,191
