,S,T,E,A,Y,D,Q,R,F
0,199600,0,400,0,0,0,0,0,0
1,199580,9,330,25,49,3,0,4,0
2,199529,32,290,45,81,9,0,15,0
3,199455,65,269,60,104,17,0,30,0
4,199363,107,260,73,120,26,0,50,0
5,199259,154,260,84,133,35,0,74,0
6,199143,206,265,95,144,45,0,101,1
7,199017,263,275,105,154,55,0,131,1
8,198881,324,287,114,164,65,0,164,1
9,198736,389,302,124,173,75,0,200,1
10,198581,458,318,134,184,85,0,238,1
11,198417,531,337,144,194,95,1,280,1
12,198243,608,357,155,205,105,1,325,2
13,198059,690,378,166,217,115,1,373,2
14,197863,776,401,177,230,125,1,425,2
15,197656,866,426,190,243,136,1,480,2
16,197438,961,452,202,258,147,1,539,3
17,197207,1061,479,216,273,158,1,602,3
18,196964,1165,509,230,290,170,1,668,3
19,196708,1273,540,244,307,182,2,740,4
20,196438,1386,573,260,326,195,2,816,4
21,196155,1504,608,277,346,208,2,896,5
22,195858,1625,645,294,366,222,2,982,5
23,195547,1749,684,312,389,237,3,1074,6
24,195222,1877,725,332,412,253,3,1171,6
25,194882,2007,768,352,437,269,4,1274,7
26,194529,2139,814,374,463,287,4,1383,7
27,194161,2272,862,397,491,305,4,1499,8
28,193778,2406,913,421,520,324,5,1623,8
29,193382,2540,967,447,551,345,5,1754,9
30,192970,2673,1024,473,584,366,6,1893,10
31,192545,2805,1084,502,618,389,7,2040,11
32,192106,2933,1147,532,655,413,7,2196,11
33,191654,3057,1213,563,693,438,8,2361,12
34,191189,3176,1282,596,734,465,9,2537,13
35,190711,3288,1355,631,776,493,9,2722,14
36,190220,3394,1431,668,821,522,10,2919,15
37,189715,3491,1511,707,868,554,11,3127,16
38,189197,3579,1597,748,917,587,11,3347,17
39,188667,3656,1686,791,969,622,12,3580,19
40,188124,3721,1779,836,1024,658,13,3826,20
41,187569,3773,1876,884,1081,696,13,4086,21
42,187002,3810,1977,934,1142,737,14,4361,23
43,186422,3834,2082,987,1207,779,14,4652,24
44,185827,3842,2193,1042,1274,823,15,4958,26
45,185216,3834,2311,1100,1343,870,15,5282,27
46,184590,3810,2435,1161,1415,920,16,5625,29
47,183948,3770,2563,1224,1491,972,16,5985,31
48,183288,3712,2696,1292,1572,1026,16,6366,33
49,182609,3638,2834,1362,1656,1082,16,6767,35
50,181909,3548,2978,1436,1745,1142,15,7189,37
51,181185,3443,3128,1514,1838,1204,15,7634,39
52,180433,3324,3286,1594,1933,1269,14,8103,42
53,179652,3192,3451,1679,2033,1338,14,8597,44
54,178840,3049,3622,1767,2137,1409,13,9117,47
55,177992,2897,3798,1859,2246,1484,12,9663,50
56,177104,2738,3979,1956,2360,1562,10,10237,53
57,176173,2575,4167,2057,2479,1643,9,10841,56
58,175194,2411,4363,2161,2601,1728,8,11475,59
59,174161,2250,4565,2269,2728,1817,6,12141,63
60,173071,2096,4773,2382,2858,1909,5,12839,66
61,171918,1952,4986,2498,2994,2005,4,13572,70
62,170698,1824,5202,2619,3134,2105,4,14340,74
63,169406,1715,5421,2744,3279,2208,4,15145,78
64,168036,1631,5645,2872,3426,2315,4,15987,83
65,166581,1578,5874,3003,3576,2427,6,16868,87
66,165039,1559,6104,3137,3728,2543,8,17790,92
67,163405,1580,6335,3274,3882,2662,12,18752,97
68,161676,1647,6564,3413,4039,2785,17,19757,102
69,159849,1763,6790,3553,4197,2912,24,20803,107
70,157923,1933,7012,3695,4355,3042,33,21894,113
71,155893,2162,7230,3836,4511,3176,45,23028,119
72,153760,2453,7442,3977,4663,3313,60,24207,125
73,151527,2809,7644,4115,4813,3453,77,25431,131
74,149196,3230,7834,4251,4958,3596,98,26699,138
75,146772,3717,8010,4384,5098,3740,122,28012,145
76,144261,4270,8169,4512,5232,3885,151,29368,152
77,141668,4889,8311,4635,5357,4032,182,30767,159
78,139001,5570,8436,4750,5471,4180,218,32208,167
79,136266,6313,8543,4855,5571,4328,258,33691,174
80,133480,7108,8628,4952,5659,4476,302,35212,182
81,130660,7948,8687,5039,5735,4622,348,36770,190
82,127820,8825,8717,5117,5801,4763,397,38361,199
83,124975,9729,8719,5184,5854,4900,448,39984,207
84,122136,10653,8694,5239,5893,5032,501,41636,216
85,119315,11591,8646,5281,5915,5160,555,43313,225
86,116522,12534,8580,5308,5916,5283,609,45014,234
87,113773,13472,8494,5321,5898,5400,664,46735,243
88,111089,14391,8386,5321,5865,5508,716,48471,253
89,108485,15278,8255,5310,5820,5607,766,50218,262
90,105973,16125,8102,5288,5764,5696,811,51971,271
91,103563,16923,7930,5255,5697,5773,851,53727,281
92,101260,17667,7745,5212,5618,5839,887,55483,290
93,99066,18353,7552,5157,5525,5895,917,57235,300
94,96989,18974,7352,5093,5421,5939,942,58980,309
95,95038,19523,7144,5022,5309,5971,960,60714,319
96,93215,19997,6930,4944,5192,5990,971,62432,328
97,91521,20394,6711,4860,5071,5997,976,64133,338
98,89956,20711,6491,4773,4947,5990,973,65812,347
99,88516,20952,6271,4681,4820,5972,964,67467,356
100,87197,21116,6056,4586,4690,5943,950,69098,365
101,85998,21205,5844,4488,4558,5902,931,70700,374
102,84915,21220,5637,4389,4427,5850,907,72273,383
103,83941,21166,5435,4290,4297,5789,878,73814,391
104,83070,21045,5239,4190,4168,5718,846,75323,400
105,82298,20863,5051,4090,4041,5640,810,76798,408
106,81618,20623,4869,3992,3917,5553,772,78239,416
107,81025,20328,4695,3895,3796,5460,733,79645,424
108,80513,19982,4528,3799,3679,5360,692,81016,431
109,80077,19590,4366,3706,3567,5253,651,82350,439
110,79708,19158,4211,3614,3460,5142,610,83649,446
111,79400,18691,4064,3525,3356,5028,570,84913,453
112,79145,18194,3926,3437,3253,4911,529,86143,460
113,78938,17672,3798,3351,3152,4794,490,87339,466
114,78772,17128,3679,3266,3052,4675,452,88502,473
115,78646,16565,3567,3183,2956,4556,416,89631,479
116,78554,15988,3459,3104,2865,4436,381,90728,485
117,78496,15397,3353,3027,2781,4315,348,91791,491
118,78466,14798,3248,2954,2704,4194,316,92823,497
119,78456,14195,3149,2883,2630,4073,286,93824,502
120,78463,13591,3057,2814,2557,3955,258,94797,507
121,78483,12988,2970,2747,2486,3839,233,95741,513
122,78513,12390,2888,2681,2417,3726,209,96659,518
123,78551,11798,2811,2617,2351,3614,187,97549,522
124,78595,11214,2735,2555,2288,3506,166,98413,527
125,78642,10640,2662,2496,2229,3399,147,99253,532
126,78691,10078,2591,2438,2173,3296,130,100068,536
127,78737,9530,2525,2382,2117,3195,114,100860,540
128,78781,8996,2461,2327,2064,3098,100,101630,544
129,78820,8478,2400,2273,2012,3004,87,102378,548
130,78852,7978,2341,2221,1961,2913,76,103105,552
131,78878,7495,2284,2170,1913,2824,65,103813,556
132,78896,7032,2228,2121,1867,2739,56,104500,560
133,78905,6587,2174,2073,1822,2657,48,105169,563
134,78905,6163,2122,2026,1779,2577,40,105820,567
135,78893,5759,2072,1981,1736,2501,34,106454,570
136,78870,5376,2023,1936,1695,2427,28,107071,573
137,78837,5013,1975,1892,1654,2357,24,107672,577
138,78791,4672,1928,1849,1615,2288,20,108257,580
139,78734,4351,1883,1807,1577,2222,16,108826,583
140,78665,4051,1838,1766,1540,2159,13,109381,586
141,78585,3772,1794,1726,1504,2098,11,109922,588
142,78492,3514,1751,1686,1468,2039,9,110449,591
143,78389,3275,1709,1647,1433,1982,7,110963,594
144,78274,3056,1668,1609,1399,1928,6,111463,596
145,78148,2856,1627,1572,1366,1875,6,111951,599
146,78012,2675,1587,1535,1333,1824,5,112427,601
147,77866,2512,1548,1499,1301,1775,5,112891,604
148,77711,2366,1510,1463,1269,1727,5,113343,606
149,77547,2236,1472,1428,1238,1681,5,113784,608
150,77375,2123,1435,1394,1207,1637,5,114214,611
151,77195,2024,1398,1360,1177,1594,6,114633,613
152,77009,1940,1362,1327,1147,1552,7,115041,615
153,76817,1869,1326,1294,1118,1512,7,115439,617
154,76620,1810,1291,1262,1090,1473,8,115828,619
155,76419,1762,1257,1230,1061,1435,9,116206,621
156,76214,1725,1223,1199,1034,1398,9,116575,623
157,76007,1698,1190,1168,1007,1362,10,116934,625
158,75797,1680,1157,1138,980,1326,11,117284,627
159,75587,1669,1125,1109,953,1292,12,117625,628
160,75376,1664,1094,1080,928,1259,12,117957,630
161,75165,1666,1063,1051,902,1227,13,118281,632
162,74956,1673,1032,1023,878,1195,14,118596,633
163,74749,1684,1003,996,853,1164,14,118903,635
164,74544,1698,974,969,829,1134,15,119201,637
165,74343,1715,945,942,806,1104,15,119492,638
166,74145,1733,918,917,783,1075,15,119775,640
167,73951,1753,890,891,760,1047,15,120050,641
