,S,T,E,A,Y,D,Q,R,F
0,49900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49898.0,0.0,94.0,2.0,6.0,0.0,0.0,0.0,0.0
3,49882.0,1.0,90.0,10.0,16.0,1.0,0.0,0.0,0.0
4,49856.0,2.0,88.0,20.0,32.0,2.0,0.0,0.0,0.0
5,49819.0,5.0,109.0,22.0,40.0,5.0,0.0,0.0,0.0
6,49789.0,12.999999999999998,110.0,31.0,48.0,9.0,0.0,0.0,0.0
7,49753.0,21.0,116.0,38.0,55.99999999999999,14.999999999999998,0.0,1.0,0.0
8,49717.0,27.999999999999996,128.0,43.0,59.99999999999999,20.0,1.0,3.0,0.0
9,49659.0,43.0,136.0,57.0,72.0,27.999999999999996,1.0,4.0,0.0
10,49609.0,55.99999999999999,154.0,54.0,70.0,33.0,2.0,22.0,0.0
11,49560.0,64.0,170.0,57.0,78.0,39.0,2.0,29.999999999999996,0.0
12,49485.0,84.0,191.0,59.99999999999999,87.0,47.0,2.0,44.0,0.0
13,49407.0,108.0,211.0,69.0,97.0,55.99999999999999,0.0,51.99999999999999,0.0
14,49336.0,116.0,235.0,70.0,111.99999999999999,61.0,1.0,69.0,0.0
15,49253.0,127.00000000000001,266.0,75.0,130.0,62.0,2.0,85.0,0.0
16,49169.0,144.0,283.0,83.0,149.0,68.0,2.0,102.00000000000001,0.0
17,49035.0,171.0,331.0,90.0,167.0,82.0,4.0,119.99999999999999,0.0
18,48915.0,184.0,380.0,103.99999999999999,180.0,89.0,6.999999999999999,140.0,1.0
19,48791.0,204.00000000000003,428.0,111.99999999999999,194.0,95.0,6.0,169.0,1.0
20,48653.0,225.99999999999997,460.0,132.0,219.0,99.0,5.0,205.00000000000003,1.0
21,48515.0,249.0,483.0,150.0,257.0,111.00000000000001,4.0,230.0,1.0
22,48308.0,294.0,545.0,167.0,284.0,136.0,3.0,262.0,1.0
23,48118.0,347.0,585.0,182.0,301.0,156.0,5.0,305.0,1.0
24,47913.0,373.0,658.0,207.99999999999997,331.0,169.0,4.0,342.0,2.0
25,47701.0,422.0,692.0,224.99999999999997,377.0,182.0,8.0,390.0,3.0
26,47473.0,456.0,756.0,255.00000000000003,413.0,198.0,6.999999999999999,439.0,3.0
27,47230.0,483.99999999999994,822.0,280.0,456.0,208.99999999999997,5.0,511.0,3.0
28,46930.0,538.0,908.0,298.0,500.0,228.0,9.0,585.0,4.0
